Title,Studio,Gross,Gross (Adjusted),Year
Austin Powers: The Spy Who Shagged Me,Newline,206040086,471450747,1999
Terminator 2: Judgment Day,Tristar,205396118,566290000,1991
Armageddon,Buena Vista,201578182,499596042,1998
Gone with the Wind,MGM,198676459,2348526992,1939
Indiana Jones and the Last Crusade,Paramount,197171806,574407573,1989
Toy Story,Buena Vista,191796233,509916776,1995
Grease,Paramount,188755690,894674870,1978
Snow White and the Seven Dwarves,Disney,184925486,1266994578,1937
Dances with Wolves,Orion,184208848,507951974,1990
Batman Forever,Warner Brothers,184031112,491756708,1995
The Fugitive,Warner Brothers,183875760,516065624,1993
Liar Liar,Universal,181410615,459407624,1997
Mission: Impossible,Paramount,180981856,475949643,1996
Indiana Jones and the Temple of Doom,Paramount,179870271,622254888,1984
Top Gun,Paramount,179800601,558294419,1986
Pretty Woman,Buena Vista,178406268,490250451,1990
Tootsie,Columbia,177200000,661440180,1982
Crocodile Dundee,Paramount,174803506,537048355,1986
Apollo 13,Universal,173837933,463298525,1995
Home Alone 2: Lost in New York,Fox,173585516,486451468,1992
Rain Man,MGM,172825435,503214196,1988
Three Men and a Baby,Buena Vista,167780960,484756537,1987
Robin Hood: Prince of Thieves,Warner Brothers,165493908,456928446,1991
Batman Returns,Warner Brothers,162831698,456078038,1992
The Sound of Music,Fox,158671368,1655408351,1965
The Firm,Paramount,158348367,444591785,1993
Fatal Attraction,Paramount,156645693,461241151,1987
Who Framed Roger Rabbit,Buena Vista,156452370,442474789,1988
The Sting,Universal,156000000,1036179052,1973
Beverly Hills Cop II,Paramount,153665036,456821491,1987
Gremlins,Warner Brothers,153083102,528675686,1984
Rambo: First Blood Part II,Tristar,150415432,492506829,1985
101 Dalmatians,Disney,144880014,1161418539,1961
The Jungle Book,Disney,141843612,856440794,1967
National Lampoon's Animal House,Universal,141600000,696152728,1978
The Godfather,Paramount,134966411,917380381,1972
Superman,Warner Brothers,134218018,666719531,1978
Close Encounters of the Third Kind,Columbia,132088635,645999219,1977
An Officer and a Gentleman,Paramount,129795554,507458649,1982
Smokey and the Bandit,Universal,126737428,660614746,1977
Rocky III,United Artists,125049125,494165673,1982
Blazing Saddles,Warner Brothers,119601481,735085017,1974
On Golden Pond,Universal,119285432,471744284,1981
Rocky,United Artists,117235147,639773881,1976
The Towering Inferno,Fox,116000000,713418587,1974
American Graffiti,Universal,115000000,763849942,1973
The Rocky Horror Picture Show,Fox,112892319,640116189,1975
Doctor Zhivago,MGM,111721910,1442926139,1965
One Flew Over the Cuckoo's Nest,United Artists,108981275,624028008,1975
Superman II,Warner Brothers,108185706,452348745,1981
Love Story,Paramount,106397186,813644669,1970
Kramer Vs. Kramer,Columbia,106260000,500058902,1979
The Graduate,AVCO,104945305,994728229,1967
9 to 5,Fox,103290500,446330256,1980
Butch Cassidy and the Sundance Kid,Fox,102308889,820150599,1969
Mary Poppins,Disney,102272727,908770137,1964
Bambi,RKO,102247150,740581023,1942
Airport,Universal,100489151,768464553,1970
